NAME,ratioCoO,Eform1,Eform3,nH
111-2x2,0.6875,15.833102259041034,28.368004629224018,0
1OvacB-2x2,0.7093253968253967,17.863916576073187,28.04852475184686,0
1Corich-2x2,0.71875,17.942889376726924,27.344066154364157,0
2OvacC-2x2,0.7318548387096775,20.363805024650954,28.19811900601532,0
2Corich-2x2-spin3,0.75,20.373018958264748,26.640470143356232,0
3Corich-2x2-spin3,0.78125,22.932250955233858,26.065976547779606,0
4Corich-2x2-spin3,0.8125,25.941447811678575,25.941447811678575,0
4Corich-1Ovac-spin2,0.8363095238095237,28.569338050947085,26.219043856537777,0
4Corich-2OvacC-spin3,0.8608870967741935,31.55078882202401,26.8502004332054,0
4Corich-3Ovac-spin3,0.8862704918032787,34.748005373928805,27.697122790700877,0
4Corich-4Ovac,0.9125000000000001,38.324651472212906,28.923474694575674,0
1H-2x2,0.6875,14.356401146725922,26.89130351690891,1
1HB-2x2,0.6875,14.508478020323839,27.043380390506826,1
2H-2x2,0.6875,12.922104419099298,25.457006789282282,2
3H-2x2,0.6875,11.739928754084337,24.274831124267322,3
3HB-2x2,0.6875,11.865521303217127,24.400423673400113,3
4H-2x2,0.6875,11.099485786163497,23.634388156346482,4
5H-2x2,0.6875,10.656747953721949,23.191650323904938,5
6H-2x2,0.6875,9.367057717596001,21.90196008777899,6
7H-2x2,0.6875,8.485031952295714,21.0199343224787,7
8H-2x2,0.6875,7.720937694626991,20.255840064809977,8
8H-1OH,0.6663461538461539,5.0751334400909505,19.960330004683243,9
8H-2OH,0.6458333333333333,2.7788858698819694,20.014376628883564,10
8H-3OH,0.6259328358208955,0.5847710757929425,20.170556029203844,11
8H-4OH,0.6066176470588236,-1.6258270903944754,20.310252057425725,12
1Co-1H,0.71875,17.00694166547686,26.40811844311409,1
1Co-2H,0.71875,16.233453098999124,25.634629876636357,2
1Co-4H,0.71875,14.57817275830767,23.979349535944902,4
1Co-7H,0.71875,12.255297817316606,21.65647459495384,7
2CoB-1H-spin3,0.75,19.626734022185087,25.89418520727657,1
2CoB-2H-spin3,0.75,19.04331554869517,25.310766733786654,2
2Co-3H-spin3,0.75,18.012410787980006,24.27986197307149,3
2CoB-4H-spin3,0.75,17.64065891813479,23.908110103226278,4
2Co-6H-spin3,0.75,16.412212984694506,22.679664169785987,6
2CoB-8H-spin3,0.75,17.079207514852627,23.34665869994411,8
2Co-4H-6OH-B,0.6267857142857143,1.7652700790434117,22.134486430590748,10
2Co-4H-8OH,0.5902777777777777,-1.8932713051685583,23.17653343519738,12
2Co-6H-6OH,0.6267857142857143,-1.021348498881173,19.347867852666155,12
2Co-2O-6OH-spin3,0.5902777777777777,7.6586390196353,32.72844376000124,6
3Co-4H-spin3,0.78125,21.299059711101858,24.432785303647613,4
3Co-5H-spin3,0.78125,20.84810619162057,23.98183178416632,5
3Co-8H,0.78125,21.859682231291973,24.993407823837728,8
3Co-8H-spin3,0.78125,21.67084275809283,24.804568350638583,8
4Co-3H-spin3,0.8125,25.29125381987048,25.29125381987048,3
4Co-4H-spin3,0.8125,25.241031701982998,25.241031701982998,4
4Co-8H,0.8125,26.54753980913191,26.54753980913191,8
4Co-8H-spin3,0.8125,26.27477553288277,26.27477553288277,8
4Co-4H-4OH-spin3,0.724264705882353,10.036360729017982,19.437537506655215,8
4Co-4H-6OH-spin3,0.6839285714285714,4.584537656337194,18.686302822793056,10
4Co-4H-8OH-B,0.6458333333333333,0.5341305328115716,19.336484088086035,12
